idKldi|kldi
K33|Kementerian Sosial
K34|Kementerian Ketenagakerjaan
K35|Kementerian Pariwisata
K38|Kementerian Agraria dan Tata Ruang/BPN
K4|Kementerian Energi Dan Sumber Daya Mineral
K41|Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan
K48|Kementerian Koperasi
K49|Kementerian Usaha Mikro, Kecil, dan Menengah
K50|Kementerian Koordinator Bidang Politik dan Keamanan
K51|Kementerian Koordinator Bidang Hukum, Hak Asasi Manusia, Imigrasi, dan Pemasyarakatan
K52|Kementerian Koordinator Bidang Infrastruktur dan Pembangunan Kewilayahan
K53|Kementerian Koordinator Bidang Pemberdayaan Masyarakat
K54|Kementerian Koordinator Bidang Pangan
K55|Kementerian Hukum
K56|Kementerian Hak Asasi Manusia
K57|Kementerian Imigrasi dan Pemasyarakatan
K58|Kementerian Pendidikan Dasar dan Menengah
K59|Kementerian Pendidikan Tinggi, Sains, dan Teknologi
K60|Kementerian Kebudayaan
K61|Kementerian Pelindungan Pekerja Migran Indonesia/BPPMI
K62|Kementerian Perumahan dan Kawasan Permukiman
K63|Kementerian Desa dan Pembangunan Daerah Tertinggal
K64|Kementerian Transmigrasi
K65|Kementerian Komunikasi dan Digital
K66|Kementerian Kependudukan dan Pembangunan Keluarga/BKKBN
K67|Kementerian Investasi dan Hilirisasi/BKPM
K68|Kementerian Ekonomi Kreatif/Badan Ekonomi Kreatif
K69|Kementerian Lingkungan Hidup/Badan Pengendalian Lingkungan Hidup
K73|Kementerian  Pekerjaan Umum
K74|Kementerian  Kehutanan
K75|Kementerian Haji Dan Umrah Republik Indonesia
K8|Kementerian Kelautan Dan Perikanan
K9|Kementerian Kesehatan
L1|Arsip Nasional Republik Indonesia
L10|Badan Nasional Penanggulangan Terorisme
L100|Badan Nasional Pencarian dan Pertolongan
L101|Badan Pembinaan Ideologi Pancasila
L102|Lembaga Perlindungan Saksi dan Korban Republik Indonesia
L103|Badan Riset dan Inovasi Nasional
L104|Badan Pangan Nasional
L105|Otorita Ibu Kota Nusantara (OIKN)
L106|Badan Karantina Indonesia
L110|Badan Penyelenggara Jaminan Produk Halal
L112|Badan Gizi Nasional
L114|Badan Otorita Pengelola Pantai Utara Jawa
L12|Badan Nasional Pengelola Perbatasan
L13|Badan Pemeriksa Keuangan
L15|Badan Pengawas Obat Dan Makanan
L16|Badan Pengawas Tenaga Nuklir
L17|Badan Pengawasan Keuangan Dan Pembangunan
